timestamp,rx_packets,tx_packets
06:20.9,0,0
06:21.0,0,0
06:21.1,0,0
06:21.3,0,0
06:21.4,0,0
06:21.5,0,0
06:21.6,0,0
06:21.7,0,0
06:21.8,0,0
06:21.9,0,0
06:22.0,0,0
06:22.1,0,0
06:22.2,0,0
06:22.3,0,0
06:22.4,0,0
06:22.6,0,0
06:22.7,0,0
06:22.8,0,0
06:22.9,0,0
06:23.0,0,0
06:23.1,0,0
06:23.2,0,0
06:23.3,0,0
06:23.4,0,0
06:23.5,0,0
06:23.6,0,0
06:23.7,0,0
06:23.9,0,0
06:24.0,0,0
06:24.1,0,0
06:24.2,0,0
06:24.3,0,0
06:24.4,0,0
06:24.5,0,0
06:24.6,0,0
06:24.7,0,0
06:24.8,0,0
06:24.9,0,0
06:25.0,0,0
06:25.2,0,0
06:25.3,0,0
06:25.4,0,0
06:25.5,0,0
06:25.6,0,0
06:25.7,0,0
06:25.8,7.752264,7.438008
06:25.9,10.657764,10.661148
06:26.0,10.664676,10.667136
06:26.1,10.647,10.64742
06:26.2,10.721412,10.650636
06:26.3,10.684356,10.728408
06:26.5,10.669236,10.672068
06:26.6,10.679076,10.682232
06:26.7,10.713864,10.745304
06:26.8,10.618212,10.627452
06:26.9,10.658772,10.652064
06:27.0,10.66134,10.660344
06:27.1,10.666212,10.663956
06:27.2,10.68414,10.668924
06:27.3,10.660188,10.66998
06:27.4,10.653132,10.65048
06:27.5,10.62996,10.635408
06:27.6,10.65324,10.648572
06:27.7,10.6524,10.654176
06:27.9,10.654116,10.65666
06:28.0,10.627992,10.63632
06:28.1,10.657596,10.658424
06:28.2,10.66134,10.66434
06:28.3,10.652412,10.651596
06:28.4,10.660656,10.654884
06:28.5,10.633728,10.64328
06:28.6,10.638672,10.631736
06:28.7,10.660884,10.670544
06:28.8,10.62036,10.585296
06:28.9,10.678716,10.671756
06:29.0,10.692372,10.705788
06:29.2,10.66086,10.681164
06:29.3,10.657548,10.658112
06:29.4,10.65132,10.651368
06:29.5,10.6362,10.64166
06:29.6,10.630164,10.624128
06:29.7,10.63248,10.602972
06:29.8,10.636428,10.641792
06:29.9,10.694304,10.694856
06:30.0,10.645128,10.68114
06:30.1,10.654152,10.658256
06:30.2,10.654836,10.642992
06:30.3,10.628268,10.609416
06:30.4,10.629192,10.630524
06:30.6,10.702248,10.710588
06:30.7,10.687236,10.688484
06:30.8,10.647468,10.675608
06:30.9,10.679376,10.670016
06:31.0,10.593816,10.607112
06:31.1,10.617684,10.575828
06:31.2,10.653912,10.666464
06:31.3,10.653924,10.6683
06:31.4,10.667796,10.636932
06:31.5,10.65282,10.689348
06:31.6,10.646088,10.640568
06:31.7,10.681104,10.65678
06:31.9,10.68468,10.680816
06:32.0,10.846956,10.796928
06:32.1,10.713588,10.75824
06:32.2,10.677396,10.684812
06:32.3,10.674384,10.696788
06:32.4,10.636752,10.634988
06:32.5,10.666164,10.670256
06:32.6,10.693728,10.692648
06:32.7,10.617852,10.621296
06:32.8,10.646604,10.644108
06:32.9,10.643268,10.65624
06:33.0,10.645632,10.635192
06:33.2,10.596624,10.576752
06:33.3,10.660296,10.637148
06:33.4,10.664076,10.68384
06:33.5,10.679028,10.672716
06:33.6,10.633308,10.659744
06:33.7,10.603296,10.617828
06:33.8,10.613736,10.580928
06:33.9,10.624152,10.613316
06:34.0,10.719684,10.700016
06:34.1,10.657608,10.703592
06:34.2,10.64604,10.650564
06:34.3,10.598484,10.578204
06:34.4,10.585812,10.64754
06:34.6,10.658496,10.672476
06:34.7,10.665468,10.655004
06:34.8,10.63782,10.630704
06:34.9,10.63008,10.626804
06:35.0,10.654752,10.626816
06:35.1,10.663428,10.692252
06:35.2,10.632612,10.654464
06:35.3,10.649424,10.639008
06:35.4,10.493364,10.585872
06:35.5,10.62894,10.620492
06:35.6,10.65186,10.644456
06:35.7,10.660296,10.664856
