timestamp,rx_packets,tx_packets
06:22.4,0,0
06:22.5,0,0
06:22.7,0,0
06:22.8,0,0
06:22.9,0,0
06:23.0,0,0
06:23.1,0,0
06:23.2,0,0
06:23.3,0,0
06:23.4,0,0
06:23.5,0,0
06:23.6,0,0
06:23.8,0,0
06:23.9,0,0
06:24.0,0,0
06:24.1,0,0
06:24.2,0,0
06:24.3,0,0
06:24.4,0,0
06:24.5,0,0
06:24.6,0,0
06:24.7,0,0
06:24.9,0,0
06:25.0,0,0
06:25.1,0,0
06:25.2,0,0
06:25.3,0,0
06:25.4,0,0
06:25.5,0,0
06:25.6,0,0
06:25.7,0,0
06:25.8,0,0
06:26.0,0,0
06:26.1,0,0
06:26.2,0,0
06:26.3,0,0
06:26.4,0,0
06:26.5,0,0
06:26.6,0,0
06:26.7,0,0
06:26.8,0,0
06:26.9,0,0
06:27.0,0,0
06:27.2,0,0
06:27.3,0,0
06:27.4,0,0
06:27.5,0,0
06:27.6,0,0
06:27.7,0,0
06:27.8,0,0
06:27.9,0,0
06:28.0,0,0
06:28.1,0,0
06:28.2,0,0
06:28.3,0,0
06:28.5,0,0
06:28.6,0,0
06:28.7,0,0
06:28.8,0,0
06:28.9,0,0
06:29.0,0,0
06:29.1,0,0
06:29.2,0,0
06:29.3,0,0
06:29.4,0,0
06:29.5,0,0
06:29.7,0,0
06:29.8,0,0
06:29.9,0,0
06:30.0,0,0
06:30.1,0,0
06:30.2,0,0
06:30.3,0,0
06:30.4,0,0
06:30.5,0,0
06:30.6,0,0
06:30.7,0,0
06:30.9,0,0
06:31.0,0,0
06:31.1,0.026892,0.026112
06:31.2,0.02688,0.026496
06:31.3,0.02688,0.02688
06:31.4,0.026496,0.02688
06:31.5,0.02688,0.02688
06:31.6,0.02688,0.02688
06:31.7,0.02688,0.02688
06:31.8,0.02688,0.02688
06:31.9,0.02688,0.026496
06:32.1,0.02688,0.027264
06:32.2,0.02688,0.02688
06:32.3,0.027264,0.02688
06:32.4,0.02688,0.027264
06:32.5,0.02688,0.02688
06:32.6,0.02688,0.02688
06:32.7,0.02688,0.026496
06:32.8,0.026496,0.02688
06:32.9,0.027264,0.02688
06:33.0,0.026496,0.02688
06:33.1,0.02688,0.02688
06:33.2,0.02688,0.026496
06:33.4,0.026496,0.02688
06:33.5,0.02688,0.026496
06:33.6,0.026496,0.02688
06:33.7,0.02688,0.02688
06:33.8,0.026496,0.026496
06:33.9,0.02688,0.02688
06:34.0,0.02688,0.02688
06:34.1,0.02688,0.026496
06:34.2,0.026496,0.02688
06:34.3,0.02688,0.02688
06:34.4,0.02688,0.026496
06:34.5,0.02688,0.02688
06:34.7,0.02688,0.02688
06:34.8,0.02688,0.02688
06:34.9,0.02688,0.02688
06:35.0,0.02688,0.02688
06:35.1,0.02688,0.027264
06:35.2,0.02688,0.02688
06:35.3,0.026496,0.026496
06:35.4,0.02688,0.02688
06:35.5,0.02688,0.02688
06:35.6,0.02688,0.02688
06:35.7,0.02688,0.02688
06:35.9,0.019584,0.026496
06:36.0,0,0.02688
06:36.1,0,0.02688
06:36.2,0,0.02688
06:36.3,0,0.02688
06:36.4,0,0.02688
06:36.5,0,0.02688
06:36.6,0,0.026496
06:36.7,0,0.027264
06:36.8,0,0.02688
06:36.9,0,0.026496
06:37.1,0,0.02688
06:37.2,0,0.02688
06:37.3,0,0.02688
06:37.4,0,0.02688
06:37.5,0,0.02688
06:37.6,0,0.02688
06:37.7,0,0.026496
06:37.8,0,0.02688
06:37.9,0,0.02688
06:38.0,0,0.027264
06:38.1,0,0.02688
06:38.3,0,0.02688
06:38.4,0,0.02688
06:38.5,0,0.02688
06:38.6,0,0.026496
06:38.7,0,0.027264
06:38.8,0,0.02688
06:38.9,0,0.026496
06:39.0,0,0.02688
06:39.1,0,0.02688
06:39.2,0,0.02688
06:39.3,0,0.02688
06:39.4,0,0.02688
06:39.6,0,0.02688
06:39.7,0,0.02688
06:39.8,0,0.026496
06:39.9,0,0.02688
06:40.0,0,0.02688
06:40.1,0,0.02688
06:40.2,0,0.02688
06:40.3,0,0.02688
06:40.4,0,0.02688
06:40.5,0,0.02688
06:40.6,0,0.02688
06:40.8,0,0.02688
06:40.9,0,0.026496
06:41.0,0,0.02688
06:41.1,0,0.02688
06:41.2,0,0.02688
06:41.3,0,0.02688
06:41.4,0,0.02688
06:41.5,0,0.02304
06:41.6,0,0
06:41.7,0,0
06:41.8,0,0
06:42.0,0,0
06:42.1,0,0
06:42.2,0,0
06:42.3,0,0
06:42.4,0,0
06:42.5,0,0
06:42.6,0,0
06:42.7,0,0
06:42.8,0,0
06:42.9,0,0
06:43.0,0,0
06:43.1,0,0
06:43.3,0,0
06:43.4,0,0
06:43.5,0,0
06:43.6,0,0
06:43.7,0,0
06:43.8,0,0
06:43.9,0,0
06:44.0,0,0
06:44.1,0,0
06:44.2,0,0
06:44.3,0,0
06:44.4,0,0
06:44.6,0,0
06:44.7,0,0
06:44.8,0,0
06:44.9,0,0
06:45.0,0,0
06:45.1,0,0
06:45.2,0,0
06:45.3,0,0
06:45.4,0,0
06:45.5,0,0
06:45.6,0,0
06:45.7,0,0
06:45.9,0,0
06:46.0,0,0
06:46.1,0,0
