packet_size (bytes),JAN%count,FEB%count,MAR%count,APR%count
54,7.721215479,10.78728928,9.546395147,10.17798083
55,7.791968086,10.86892136,9.586819348,10.22221306
56,7.793245929,10.86997259,9.587780056,10.22402977
57,7.793888273,10.87030763,9.590139799,10.23159719
58,10.85139443,15.44928252,11.8654805,13.17332743
59,10.85479253,15.45343988,11.86823401,13.17511815
60,25.78477412,35.69323518,28.31861981,35.04798188
61,25.90370673,35.97713212,28.52729314,35.15666278
62,26.04142317,36.15898122,28.59648273,35.33123584
63,26.06577696,36.17419776,28.62063639,35.44411596
64,26.08871443,36.18082145,28.62772069,35.45635845
65,26.13234643,36.24028619,28.66818833,35.52233325
66,32.97044691,47.21925887,35.76196986,46.49266421
67,33.0216254,47.25218636,35.79183925,46.52489121
68,33.07030033,47.32251069,35.83021398,46.56515413
69,33.08379956,47.3649043,35.90913194,46.57769851
70,33.52478132,47.98984072,36.58601419,47.22542468
71,33.58665852,48.02310397,36.60508844,47.88726471
72,33.62009779,48.05714754,36.63723352,47.93026136
73,33.69573379,48.17674423,36.7198561,47.99294262
74,35.94793596,51.16448977,40.26308258,51.2485317
75,36.09395653,51.35693619,40.41927745,51.44381636
76,36.14460799,51.40616387,40.46851952,51.49247441
77,36.23657164,51.49119174,40.52261477,51.55849387
78,37.08889625,52.22437891,40.95912709,52.29333163
79,37.28782649,52.29372623,40.99685645,52.34912125
80,37.40691758,52.94271053,41.07236934,52.76940375
81,37.46546565,53.01209171,41.10673257,52.82587247
82,37.72435554,53.55382029,41.50519396,53.07722998
83,37.7906486,53.63787546,41.56123207,53.16171513
84,38.04297078,53.99017153,41.81086214,53.41421425
85,38.16042811,54.13698059,41.9194165,53.51144105
86,40.00493141,55.71451224,43.81397498,55.05572044
87,40.12975622,55.82028371,43.90080087,55.18187004
88,40.27225127,56.02078259,44.05885172,55.34532889
89,40.33088675,56.1008735,44.20117923,55.45856223
90,41.37861502,57.9687716,45.80775096,58.93587827
91,41.49929934,58.03737606,45.8494608,59.01893457
92,41.60094343,58.11257179,45.92495113,59.10640138
93,42.36037247,58.17341272,45.97716163,59.19409877
94,51.19180629,58.5176801,46.3550324,59.58070543
95,51.22852888,58.56937626,46.45258177,59.65487411
96,51.29880605,58.65574572,46.52980566,59.77044931
97,51.42535044,58.76209576,46.65412003,59.88002923
98,53.076077,60.89354565,48.29415069,61.11340677
99,53.12663263,60.98254138,48.34596066,61.17388612
100,53.19155202,61.04122941,48.40208564,61.25281117
101,53.29628515,61.14700232,48.48625731,61.34335359
102,53.43642406,61.33354701,48.63991644,62.00977805
103,53.49172461,61.40837023,48.69161359,62.08647519
104,53.57801247,61.53675935,48.76119919,62.16332829
