packet_size,%count,%count
54,12.2221791,9.18810936
55,12.34809097,9.314911781
56,12.34904196,9.321833524
57,12.34954436,9.328228559
58,15.40731204,11.75198692
59,15.41232844,11.75388168
60,30.45691562,21.90009189
61,30.61379433,21.93669563
62,30.69539169,22.17937285
63,30.70698093,22.22155897
64,30.71345072,22.2455237
65,30.72645952,22.27672876
66,39.33202615,30.03045131
67,39.35110641,30.10471551
68,39.37772844,30.20067467
69,39.71889433,30.52809187
70,40.23034043,31.30160643
71,40.50207956,31.40939195
72,40.54015549,31.46840964
73,40.64595255,31.59325761
74,42.84696388,33.90890954
75,43.05027594,34.16861852
76,43.10241932,34.26458164
77,43.20041058,34.37979022
78,43.99207474,34.99171324
79,44.03696856,35.08735809
80,44.11467378,35.19169049
81,44.16322955,35.2688115
82,44.57689048,35.61877062
83,44.63391389,35.70495122
84,44.91407554,35.82179203
85,45.04580459,36.05345884
86,46.05731877,38.14860344
87,46.14050231,38.27657405
88,46.28937068,38.45752055
89,46.44045067,38.58749773
90,48.79097581,39.64560288
91,48.84555741,39.80198671
92,48.96849174,39.93478938
93,49.04809535,40.14653429
94,49.4532466,40.64995609
95,49.52921185,40.79768139
96,49.62605424,40.98140985
97,49.77222088,41.34137675
98,51.13918884,42.28294286
99,51.20822136,42.37251193
100,51.29529139,42.46044119
101,51.40432386,42.64071817
102,51.56050074,42.89694006
103,51.63223601,42.96857204
104,51.78838111,43.11512222
105,51.92407867,43.34261725
106,52.08208371,43.47622268
107,52.29104018,43.61860405
108,52.3699235,43.69923756
109,52.58729123,43.84586195
110,52.86589951,44.38956555
111,52.94265426,44.49097484
112,53.03395324,44.60005091
113,53.09595921,44.78010296
114,53.21290565,45.02896743
115,53.27962811,45.08544393
116,53.38167761,45.16553028
117,53.45474837,45.25603601
118,53.63817888,45.48525035
119,53.67290713,45.61176649
120,54.12681819,45.68732651
121,54.19073946,45.75641762
122,54.34400801,46.01460552
123,54.41886438,46.10144607
124,54.50623379,46.15393779
125,54.53963988,46.20896741
126,54.60144592,46.26926411
127,54.64678832,46.45350872
128,54.68820732,46.53285629
129,54.73774586,46.57039504
130,54.86889048,46.6732522
131,54.89663934,46.72539531
132,55.95473144,46.84812226
133,56.01933405,46.95722175
134,56.0808089,47.05993511
135,56.11739247,47.10646121
136,56.15105387,47.15306911
137,56.18181001,47.18120264
138,56.29011347,47.39330276
139,56.34887019,47.46013235
140,56.39504824,47.52312328
141,56.43185379,47.56318937
142,58.07933868,47.65901628
143,58.14367829,47.69803852
144,58.59356187,47.74572259
145,58.63356798,47.78887968
146,58.7148603,47.88334809
147,58.75509351,47.92340627
148,58.79522265,47.97467539
149,58.82139405,48.01212245
150,58.86540302,48.06353932
151,58.91171231,48.12739139
152,59.01332194,48.15784976
153,59.0543221,48.21479954
154,59.19263578,48.30168758
155,59.23874205,48.34763849
156,59.28025486,48.38101074
157,59.30197379,48.43255953
158,59.44582474,48.59448551
159,59.4753023,48.64720282
160,59.51456709,48.68447377
161,59.55017814,48.7171521
162,59.5848623,48.76572864
163,59.60813665,48.80881712
164,59.70371686,48.93075582
165,59.73283248,48.98403117
166,59.76987745,49.04270322
167,59.84221459,49.11524053
168,59.8703459,49.15962319
169,59.89460456,49.21205258
170,59.93907544,49.26526593
171,59.97412461,49.30878581
172,60.00529293,49.35130075
173,60.02778598,49.39411912
174,60.08417471,49.46010934
175,60.10664008,49.49661348
176,60.13734701,49.55133934
177,60.16138112,49.58533197
178,60.21381159,49.63871353
179,60.24803127,49.69114193
180,60.32262413,49.7366344
181,60.34612251,49.77207193
182,60.37243951,49.82574965
183,60.57926946,49.92000369
184,60.60136058,49.94954651
