src_ip,CDF
192.168.10.1,7.31426306
192.168.20.1,32.06037554
192.169.192.10,32.06054867
192.169.192.100,32.06210679
192.169.192.101,32.06245304
192.169.192.102,32.06279929
192.169.192.103,32.06435741
192.169.192.104,32.06582897
192.169.192.105,32.06617522
192.169.192.106,32.06652147
192.169.192.107,32.0673871
192.169.192.108,32.06764678
192.169.192.109,32.06781991
192.169.192.11,32.0680796
192.169.192.110,32.06842585
192.169.192.111,32.07171522
192.169.192.112,32.07310022
192.169.192.113,32.07353303
192.169.192.114,32.07387928
192.169.192.115,32.07509115
192.169.192.116,32.07517771
192.169.192.117,32.0754374
192.169.192.118,32.07569709
192.169.192.119,32.07578365
192.169.192.12,32.07595677
192.169.192.120,32.07803427
192.169.192.121,32.07829396
192.169.192.122,32.07846708
192.169.192.123,32.07864021
192.169.192.124,32.07915958
192.169.192.126,32.08002521
192.169.192.127,32.08011177
192.169.192.128,32.08045802
192.169.192.129,32.08192958
192.169.192.13,32.08236239
192.169.192.130,32.6122974
192.169.192.131,33.16595051
192.169.192.132,33.32998625
192.169.192.133,33.5603288
192.169.192.134,33.73258797
192.169.192.135,33.89679684
192.169.192.136,34.06697852
192.169.192.137,34.24044957
192.169.192.138,34.46983993
192.169.192.139,34.64097379
192.169.192.14,34.64114692
192.169.192.140,35.17393849
192.169.192.141,35.70508537
192.169.192.142,36.25302536
192.169.192.143,36.80693815
192.169.192.144,37.03122133
192.169.192.145,37.22330329
192.169.192.146,37.44810584
192.169.192.147,37.68606588
192.169.192.148,37.91372499
192.169.192.149,38.07879948
192.169.192.15,38.07897261
192.169.192.150,38.24880804
192.169.192.151,38.47629402
192.169.192.152,38.64872632
192.169.192.153,38.81830206
192.169.192.154,38.98467499
192.169.192.155,39.16913947
192.169.192.156,39.70245041
192.169.192.157,40.23697322
192.169.192.158,40.40637584
192.169.192.159,40.57707689
192.169.192.16,40.57725002
192.169.192.160,40.74751826
192.169.192.161,40.92072962
192.169.192.162,40.9209893
192.169.192.163,40.92124899
192.169.192.164,40.92150868
192.169.192.165,40.92176837
192.169.192.166,40.92202805
192.169.192.167,40.92228774
192.169.192.168,40.92254743
192.169.192.169,40.92280711
192.169.192.17,40.92298024
192.169.192.170,40.92323993
192.169.192.171,40.92349961
192.169.192.172,40.9237593
192.169.192.173,40.92401899
192.169.192.174,40.92427868
192.169.192.175,40.92453836
192.169.192.176,40.92479805
192.169.192.177,40.92505774
192.169.192.178,40.92531742
192.169.192.179,40.92549055
192.169.192.18,40.92566367
192.169.192.180,40.92592336
192.169.192.181,40.92618305
192.169.192.182,40.92644274
192.169.192.183,40.92670242
192.169.192.184,40.92696211
192.169.192.185,40.9272218
192.169.192.186,40.92748148
192.169.192.188,40.92765461
192.169.192.189,40.9279143
192.169.192.19,40.92834711
192.169.192.190,40.92852023
192.169.192.191,40.92877992
192.169.192.192,40.92903961
192.169.192.193,40.92929929
192.169.192.194,40.92990523
192.169.192.195,40.93042461
192.169.192.196,40.93085742
192.169.192.197,40.93129023
192.169.192.198,40.93189617
192.169.192.199,40.93232898
192.169.192.2,40.9325021
192.169.192.20,40.93267523
192.169.192.200,40.93345429
192.169.192.201,40.93406023
192.169.192.202,40.93449304
192.169.192.203,40.93509898
192.169.192.204,40.93570491
192.169.192.205,40.93622429
192.169.192.206,40.93683022
192.169.192.207,40.93717647
192.169.192.209,40.93760929
192.169.192.210,40.9380421
192.169.192.211,40.93864803
192.169.192.212,40.93908085
192.169.192.213,40.93951366
192.169.192.214,40.94011959
192.169.192.215,40.94063897
192.169.192.216,40.94133147
192.169.192.217,40.9419374
192.169.192.218,40.94228365
192.169.192.219,40.94288959
192.169.192.22,40.94297615
192.169.192.220,40.94358209
192.169.192.221,40.94410146
192.169.192.222,40.9447074
192.169.192.223,40.94583271
192.169.192.224,40.94687146
192.169.192.225,40.94782365
192.169.192.226,40.94799677
192.169.192.227,40.9481699
192.169.192.228,40.94834302
192.169.192.23,40.94851615
192.169.192.230,40.94868927
192.169.192.231,40.9488624
192.169.192.232,40.94903552
192.169.192.233,40.94920865
192.169.192.235,40.94938177
192.169.192.236,40.94946833
192.169.192.237,40.94964146
192.169.192.238,40.94981458
192.169.192.239,40.94998771
192.169.192.24,40.95007427
192.169.192.240,40.9502474
192.169.192.241,40.95042052
192.169.192.243,40.95059364
192.169.192.244,40.95076677
192.169.192.245,40.95093989
192.169.192.246,40.95111302
192.169.192.247,40.95128614
192.169.192.248,40.95145927
192.169.192.249,40.95163239
192.169.192.25,40.95171896
192.169.192.250,40.95189208
192.169.192.251,40.95206521
192.169.192.252,40.95223833
192.169.192.253,40.95241146
192.169.192.254,40.95258458
192.169.192.255,40.9527577
192.169.192.26,40.95284427
192.169.192.28,40.95327708
192.169.192.29,40.9534502
192.169.192.30,40.95362333
192.169.192.31,40.9541427
192.169.192.32,40.95448895
192.169.192.33,40.95466208
192.169.192.35,40.95474864
192.169.192.36,40.9548352
192.169.192.37,40.95492176
192.169.192.38,40.95500833
192.169.192.39,40.95509489
192.169.192.40,40.95518145
192.169.192.41,40.95526801
192.169.192.42,40.95535458
192.169.192.43,40.95544114
192.169.192.44,40.9555277
192.169.192.45,40.95561426
192.169.192.46,40.95570083
192.169.192.47,40.95578739
192.169.192.48,40.95587395
192.169.192.49,40.95596051
192.169.192.5,40.9562202
192.169.192.50,40.95630676
192.169.192.51,40.95639333
192.169.192.53,40.95647989
192.169.192.54,40.95656645
192.169.192.56,40.95665301
192.169.192.57,40.95673958
192.169.192.58,40.95682614
192.169.192.59,40.9569127
192.169.192.6,40.95699926
192.169.192.60,40.95708582
192.169.192.62,40.95717239
192.169.192.64,40.95725895
192.169.192.65,40.95734551
192.169.192.66,41.13081656
192.169.192.67,41.67607311
192.169.192.68,42.20116063
192.169.192.69,42.41825913
192.169.192.70,42.6086964
192.169.192.71,43.13144673
192.169.192.72,43.35503741
192.169.192.73,43.545215
192.169.192.74,43.7623135
192.169.192.75,44.30886849
192.169.192.76,44.85343255
192.169.192.77,45.39747723
192.169.192.78,45.94662909
192.169.192.79,46.17861632
