src_ip,count,CDF,,,,,total,1155236
192.168.10.1,84497,7.31426306,,,,,,
192.168.20.1,285876,32.06037554,,,,,,
192.169.192.10,2,32.06054867,,,,,,
192.169.192.100,18,32.06210679,,,,,,
192.169.192.101,4,32.06245304,,,,,,
192.169.192.102,4,32.06279929,,,,,,
192.169.192.103,18,32.06435741,,,,,,
192.169.192.104,17,32.06582897,,,,,,
192.169.192.105,4,32.06617522,,,,,,
192.169.192.106,4,32.06652147,,,,,,
192.169.192.107,10,32.0673871,,,,,,
192.169.192.108,3,32.06764678,,,,,,
192.169.192.109,2,32.06781991,,,,,,
192.169.192.11,3,32.0680796,,,,,,
192.169.192.110,4,32.06842585,,,,,,
192.169.192.111,38,32.07171522,,,,,,
192.169.192.112,16,32.07310022,,,,,,
192.169.192.113,5,32.07353303,,,,,,
192.169.192.114,4,32.07387928,,,,,,
192.169.192.115,14,32.07509115,,,,,,
192.169.192.116,1,32.07517771,,,,,,
192.169.192.117,3,32.0754374,,,,,,
192.169.192.118,3,32.07569709,,,,,,
192.169.192.119,1,32.07578365,,,,,,
192.169.192.12,2,32.07595677,,,,,,
192.169.192.120,24,32.07803427,,,,,,
192.169.192.121,3,32.07829396,,,,,,
192.169.192.122,2,32.07846708,,,,,,
192.169.192.123,2,32.07864021,,,,,,
192.169.192.124,6,32.07915958,,,,,,
192.169.192.126,10,32.08002521,,,,,,
192.169.192.127,1,32.08011177,,,,,,
192.169.192.128,4,32.08045802,,,,,,
192.169.192.129,17,32.08192958,,,,,,
192.169.192.13,5,32.08236239,,,,,,
192.169.192.130,6122,32.6122974,,,,,,
192.169.192.131,6396,33.16595051,,,,,,
192.169.192.132,1895,33.32998625,,,,,,
192.169.192.133,2661,33.5603288,,,,,,
192.169.192.134,1990,33.73258797,,,,,,
192.169.192.135,1897,33.89679684,,,,,,
192.169.192.136,1966,34.06697852,,,,,,
192.169.192.137,2004,34.24044957,,,,,,
192.169.192.138,2650,34.46983993,,,,,,
192.169.192.139,1977,34.64097379,,,,,,
192.169.192.14,2,34.64114692,,,,,,
192.169.192.140,6155,35.17393849,,,,,,
192.169.192.141,6136,35.70508537,,,,,,
192.169.192.142,6330,36.25302536,,,,,,
192.169.192.143,6399,36.80693815,,,,,,
192.169.192.144,2591,37.03122133,,,,,,
192.169.192.145,2219,37.22330329,,,,,,
192.169.192.146,2597,37.44810584,,,,,,
192.169.192.147,2749,37.68606588,,,,,,
192.169.192.148,2630,37.91372499,,,,,,
192.169.192.149,1907,38.07879948,,,,,,
192.169.192.15,2,38.07897261,,,,,,
192.169.192.150,1962,38.24880804,,,,,,
192.169.192.151,2628,38.47629402,,,,,,
192.169.192.152,1992,38.64872632,,,,,,
192.169.192.153,1959,38.81830206,,,,,,
192.169.192.154,1922,38.98467499,,,,,,
192.169.192.155,2131,39.16913947,,,,,,
192.169.192.156,6161,39.70245041,,,,,,
192.169.192.157,6175,40.23697322,,,,,,
192.169.192.158,1957,40.40637584,,,,,,
192.169.192.159,1972,40.57707689,,,,,,
192.169.192.16,2,40.57725002,,,,,,
192.169.192.160,1967,40.74751826,,,,,,
192.169.192.161,2001,40.92072962,,,,,,
192.169.192.162,3,40.9209893,,,,,,
192.169.192.163,3,40.92124899,,,,,,
192.169.192.164,3,40.92150868,,,,,,
192.169.192.165,3,40.92176837,,,,,,
192.169.192.166,3,40.92202805,,,,,,
192.169.192.167,3,40.92228774,,,,,,
192.169.192.168,3,40.92254743,,,,,,
192.169.192.169,3,40.92280711,,,,,,
192.169.192.17,2,40.92298024,,,,,,
192.169.192.170,3,40.92323993,,,,,,
192.169.192.171,3,40.92349961,,,,,,
192.169.192.172,3,40.9237593,,,,,,
192.169.192.173,3,40.92401899,,,,,,
192.169.192.174,3,40.92427868,,,,,,
192.169.192.175,3,40.92453836,,,,,,
192.169.192.176,3,40.92479805,,,,,,
192.169.192.177,3,40.92505774,,,,,,
192.169.192.178,3,40.92531742,,,,,,
192.169.192.179,2,40.92549055,,,,,,
192.169.192.18,2,40.92566367,,,,,,
192.169.192.180,3,40.92592336,,,,,,
192.169.192.181,3,40.92618305,,,,,,
192.169.192.182,3,40.92644274,,,,,,
192.169.192.183,3,40.92670242,,,,,,
192.169.192.184,3,40.92696211,,,,,,
192.169.192.185,3,40.9272218,,,,,,
192.169.192.186,3,40.92748148,,,,,,
192.169.192.188,2,40.92765461,,,,,,
192.169.192.189,3,40.9279143,,,,,,
192.169.192.19,5,40.92834711,,,,,,
192.169.192.190,2,40.92852023,,,,,,
192.169.192.191,3,40.92877992,,,,,,
192.169.192.192,3,40.92903961,,,,,,
192.169.192.193,3,40.92929929,,,,,,
192.169.192.194,7,40.92990523,,,,,,
192.169.192.195,6,40.93042461,,,,,,
192.169.192.196,5,40.93085742,,,,,,
192.169.192.197,5,40.93129023,,,,,,
192.169.192.198,7,40.93189617,,,,,,
192.169.192.199,5,40.93232898,,,,,,
192.169.192.2,2,40.9325021,,,,,,
192.169.192.20,2,40.93267523,,,,,,
192.169.192.200,9,40.93345429,,,,,,
